rental_id,rental_date,return_date,customer_lastname,store_id,rental_store_city,film_title,film_rental_duration,film_rental_rate,film_replacement_cost,film_rating,have_coherence
1,2005-05-24 22:53:30,2005-05-26 22:04:30,HUNTER,1,Lethbridge,BLANKET BEVERLY,7,2.99,21.99,PG-13,True
2,2005-05-24 22:54:33,2005-05-28 19:40:33,COLLAZO,2,Woodridge,FREAKY POCUS,7,2.99,16.99,R,True
3,2005-05-24 23:03:39,2005-06-01 22:12:39,MURRELL,2,Woodridge,GRADUATE LORD,7,2.99,14.99,G,True
4,2005-05-24 23:04:41,2005-06-03 01:43:41,PURDY,1,Lethbridge,LOVE SUICIDES,6,0.99,21.99,R,True
5,2005-05-24 23:05:21,2005-06-02 04:33:21,HANSEN,2,Woodridge,IDOLS SNATCHERS,5,2.99,29.99,NC-17,True
6,2005-05-24 23:08:07,2005-05-27 01:32:07,CHRISTENSON,1,Lethbridge,MYSTIC TRUMAN,5,0.99,19.99,PG-13,True
7,2005-05-24 23:11:53,2005-05-29 20:34:53,WALTERS,2,Woodridge,SWARM GOLD,4,0.99,12.99,PG-13,True
8,2005-05-24 23:31:46,2005-05-27 23:33:46,ROMERO,1,Lethbridge,LAWLESS VISION,6,4.99,29.99,G,True
9,2005-05-25 00:00:40,2005-05-28 00:22:40,SIMPSON,1,Lethbridge,MATRIX SNOWMAN,6,4.99,9.99,PG-13,True
10,2005-05-25 00:02:21,2005-05-31 22:44:21,ISOM,2,Woodridge,HANGING DEEP,5,4.99,18.99,G,True
11,2005-05-25 00:09:02,2005-06-02 20:56:02,BURNS,1,Lethbridge,WHALE BIKINI,4,4.99,11.99,PG-13,True
12,2005-05-25 00:19:27,2005-05-30 05:44:27,BYRD,1,Lethbridge,GAMES BOWFINGER,7,4.99,17.99,PG-13,True
13,2005-05-25 00:22:55,2005-05-30 04:28:55,MCWHORTER,1,Lethbridge,KING EVOLUTION,3,4.99,24.99,NC-17,True
14,2005-05-25 00:31:15,2005-05-26 02:56:15,CULP,2,Woodridge,MONTEREY LABYRINTH,6,0.99,20.99,G,True
15,2005-05-25 00:39:22,2005-06-03 03:30:22,WEINER,1,Lethbridge,PELICAN COMFORTS,4,4.99,17.99,PG,True
16,2005-05-25 00:43:11,2005-05-26 04:42:11,CURLEY,1,Lethbridge,BOOGIE AMELIE,6,4.99,11.99,R,True
17,2005-05-25 01:06:36,2005-05-27 00:43:36,OGLESBY,2,Woodridge,CONTACT ANONYMOUS,7,2.99,10.99,PG-13,True
18,2005-05-25 01:10:47,2005-05-31 06:35:47,MARTINEZ,1,Lethbridge,ROMAN PUNK,7,0.99,28.99,NC-17,True
19,2005-05-25 01:17:24,2005-05-31 06:00:24,RICKETTS,2,Woodridge,HOLLOW JEOPARDY,7,4.99,20.99,NC-17,True
20,2005-05-25 01:48:41,2005-05-27 02:20:41,HARPER,2,Woodridge,SCISSORHANDS SLUMS,5,2.99,13.99,G,True
21,2005-05-25 01:59:46,2005-05-26 01:01:46,MORRELL,1,Lethbridge,APACHE DIVINE,5,4.99,16.99,NC-17,True
22,2005-05-25 02:19:23,2005-05-26 04:52:23,FORTIER,1,Lethbridge,CLOSER BANG,5,4.99,12.99,R,True
23,2005-05-25 02:40:21,2005-05-29 06:34:21,LOVELACE,1,Lethbridge,WHALE BIKINI,4,4.99,11.99,PG-13,True
24,2005-05-25 02:53:02,2005-05-27 01:15:02,FRALEY,1,Lethbridge,REDS POCUS,7,4.99,23.99,PG-13,True
25,2005-05-25 03:21:20,2005-05-27 21:25:20,BAKER,2,Woodridge,SUN CONFESSIONS,5,0.99,9.99,R,True
26,2005-05-25 03:36:50,2005-05-31 00:34:50,POULIN,1,Lethbridge,WAIT CIDER,3,0.99,9.99,PG-13,True
27,2005-05-25 03:41:50,2005-05-30 01:13:50,BAUGHMAN,2,Woodridge,EASY GLADIATOR,5,4.99,12.99,PG-13,True
28,2005-05-25 03:42:37,2005-05-26 09:26:37,REID,1,Lethbridge,THIEF PELICAN,5,4.99,28.99,PG-13,True
29,2005-05-25 03:47:12,2005-05-30 00:31:12,TURNER,2,Woodridge,CHAINSAW UPTOWN,6,0.99,20.99,PG-13,True
30,2005-05-25 04:01:32,2005-05-30 03:12:32,HOULE,1,Woodridge,SONG HEDWIG,3,0.99,29.99,PG-13,True
31,2005-05-25 04:05:17,2005-05-30 07:15:17,WHEAT,2,Woodridge,WITCHES PANIC,6,4.99,10.99,NC-17,True
32,2005-05-25 04:06:21,2005-05-25 23:55:21,GEORGE,2,Woodridge,STALLION SUNDANCE,5,0.99,23.99,PG-13,True
33,2005-05-25 04:18:51,2005-05-27 03:58:51,CALDWELL,1,Lethbridge,GOLDMINE TYCOON,6,0.99,20.99,R,True
34,2005-05-25 04:19:28,2005-05-29 00:10:28,DUGGAN,1,Lethbridge,MICROCOSMOS PARADISE,6,2.99,22.99,PG-13,True
35,2005-05-25 04:24:36,2005-05-27 07:02:36,VU,2,Woodridge,ENEMY ODDS,5,4.99,23.99,NC-17,True
36,2005-05-25 04:36:26,2005-05-29 00:31:26,HUGHES,2,Woodridge,ESCAPE METROPOLIS,7,2.99,20.99,R,True
37,2005-05-25 04:44:31,2005-05-29 01:03:31,ELROD,2,Woodridge,BORROWERS BEDAZZLED,7,0.99,22.99,G,True
38,2005-05-25 04:47:44,2005-06-01 00:58:44,SILVERMAN,1,Lethbridge,MANCHURIAN CURTAIN,5,2.99,27.99,PG,True
39,2005-05-25 04:51:46,2005-05-31 03:14:46,CASTILLO,1,Lethbridge,WIND PHANTOM,6,0.99,12.99,R,True
40,2005-05-25 05:09:04,2005-05-27 23:12:04,YEE,1,Lethbridge,MINDS TRUMAN,3,4.99,22.99,PG-13,True
41,2005-05-25 05:12:29,2005-06-02 00:28:29,WATKINS,2,Woodridge,GRIT CLOCKWORK,3,0.99,21.99,PG,True
42,2005-05-25 05:24:58,2005-05-31 02:47:58,GUAJARDO,1,Lethbridge,BOILED DARES,7,4.99,13.99,PG,True
43,2005-05-25 05:39:25,2005-05-26 06:54:25,RENNER,2,Woodridge,MASSAGE IMAGE,4,2.99,20.99,PG,True
44,2005-05-25 05:53:23,2005-05-29 10:56:23,CASTILLO,1,Lethbridge,PIRATES ROXANNE,4,0.99,20.99,PG,True
45,2005-05-25 05:59:39,2005-06-02 09:56:39,QUIGLEY,2,Woodridge,HARRY IDAHO,5,4.99,20.99,PG-13,True
46,2005-05-25 06:04:08,2005-06-02 08:18:08,MILLER,1,Lethbridge,RIDGEMONT SUBMARINE,3,0.99,28.99,PG-13,True
47,2005-05-25 06:05:20,2005-05-30 03:04:20,GREEN,2,Woodridge,JAWS HARRY,4,2.99,10.99,G,True
